Year,Topic,Proportion,Keywords
2015,Topic_1,0.0781609331582182,"education, students, infrastructure, training, higher, university, project, energy, sector, funding"
2015,Topic_2,0.10369807445805025,"government, bill, small, budget, legislation, act, can, made, measures, changes"
2015,Topic_3,0.08675032774580985,"committee, security, house, defence, also, public, information, standing, law, force"
2015,Topic_4,0.12267044791868648,"australian, member, can, years, mr, important, around, time, two, new"
2015,Topic_5,0.09645951001924684,"will, many, know, us, support, way, national, well, every, come"
2015,Topic_6,0.0896841487437485,"people, australia, one, also, just, think, place, get, families, australians"
2015,Topic_7,0.0744852038642417,"community, great, like, war, world, members, day, local, service, also"
2015,Topic_8,0.08202215802716634,"time, now, year, young, back, able, country, south, thank, cuts"
2015,Topic_9,0.13168154424875164,"minister, $, per, prime, million, jobs, health, question, new, electorate"
2015,Topic_10,0.1343876518160802,"labor, business, tax, cent, said, will, need, billion, good, work"
2016,Topic_1,0.07016030670477243,"time, per, need, can, want, well, think, budget, system, see"
2016,Topic_2,0.0881600182772303,"australian, industry, report, members, act, world, financial, legislation, national, issue"
2016,Topic_3,0.07571090747547966,"bill, tax, new, cent, community, million, important, made, billion, funding"
2016,Topic_4,0.07352575487277128,"will, support, going, year, every, local, way, plan, make, take"
2016,Topic_5,0.08116771137791998,"people, also, know, us, committee, first, thank, parliament, many, around"
2016,Topic_6,0.0669850840953776,"$, australia, work, say, jobs, good, electorate, program, now, ensure"
2016,Topic_7,0.06443636032618834,"just, years, australians, party, future, young, policy, working, education, continue"
2016,Topic_8,0.08462135679330406,"one, like, place, now, two, many, great, state, said, house"
2016,Topic_9,0.1027815174427344,"government, labor, people, get, business, last, said, today, go, can"
2016,Topic_10,0.292450982634222,"minister, member, prime, mr, question, house, treasurer, honourable, leader, opposition"
2017,Topic_1,0.08105578115032476,"$, budget, health, services, billion, million, government's, care, can, disability"
2017,Topic_2,0.15635748777816397,"member, get, house, per, party, going, can, jobs, opposition, south"
2017,Topic_3,0.06710025092517866,"will, funding, education, support, schools, school, children, students, want, sector"
2017,Topic_4,0.06241205712199058,"tax, business, businesses, small, cent, pay, cut, rates, rate, penalty"
2017,Topic_5,0.14057974975432355,"minister, labor, prime, just, will, energy, years, electorate, last, cent"
2017,Topic_6,0.07608079362406596,"people, new, like, take, labor, say, members, part, families, made"
2017,Topic_7,0.08702488769690421,"government, also, need, now, legislation, put, important, place, opposite, said"
2017,Topic_8,0.11590240173647523,"australian, australia, one, time, know, country, us, today, think, year"
2017,Topic_9,0.10851569109585613,"work, community, australians, workers, people, good, mr, per, see, day"
2017,Topic_10,0.10497089911671696,"bill, make, many, want, act, committee, can, including, amendment, security"
